AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR,dates
108.09,15.61,53.56,192.49,49.36,35.6,57.66,25.56,20.83,23.25,30.9,30.67,44.34,53.79,32.68,33.83,32.52,37.26,21.2,111.43,11.26,274.34,27.86,222.99,111.29,134.59,75.52,42.76,54.5,116.64,6.06,15.55,37.1,15.85,221.7,11.29,47.11,81.11,114.68,36.16,34.37,50.43,75.35,23.12,62.88,47.28,50.78,46.77,68.48,82.52,33.18,42.7,10683.036,2016-12-06
108.11,15.68,53.05,192.22,49.01,35.41,57.27,25.34,20.82,22.31,30.57,30.57,43.7,53.54,32.12,33.41,32.0,37.26,21.33,111.54,11.26,271.93,27.4,222.19,110.66,133.15,75.04,42.16,53.68,116.65,6.11,15.66,37.21,15.88,221.0,11.35,46.68,80.59,114.1,36.01,34.04,50.37,75.49,22.92,62.76,47.14,50.63,46.86,68.29,82.33,33.21,42.45,10683.036,2016-12-05
108.02,15.6,52.28,191.74,48.77,35.12,56.71,24.74,20.74,22.13,30.5,30.35,43.22,53.29,31.68,32.69,31.29,37.31,21.37,112.14,11.32,270.46,27.04,220.91,110.05,130.9,74.45,41.64,53.03,116.4,6.19,15.86,37.43,15.83,219.68,11.48,45.99,80.0,113.31,35.77,33.63,49.98,74.83,22.65,62.81,46.69,50.57,46.8,68.41,81.44,32.06,42.03,10682.826000000001,2016-12-02
107.68,15.49,52.36,191.9,48.61,35.08,56.57,24.68,20.98,21.98,30.41,30.1,43.27,53.46,31.48,32.64,31.31,37.59,20.66,111.54,11.27,269.49,27.01,220.73,110.08,130.97,73.67,41.98,53.46,115.87,6.08,15.87,37.45,15.66,219.57,11.33,45.84,79.21,113.31,35.81,33.53,49.96,74.61,22.9,62.82,46.52,50.25,46.38,68.25,81.89,31.29,42.05,10682.621000000001,2016-12-01
108.24,15.21,52.17,191.4,49.2,35.5,56.79,24.83,21.17,21.75,30.74,30.06,44.12,53.26,33.49,32.78,31.38,37.59,20.83,111.75,11.29,274.07,27.37,221.53,109.91,131.61,74.85,41.15,52.41,116.84,5.82,15.75,37.31,15.66,220.38,10.93,45.91,80.39,113.78,36.22,33.85,49.94,74.43,22.51,62.41,47.5,50.58,46.75,68.75,81.85,31.1,41.93,10682.421,2016-11-30
108.67,14.76,52.2,191.19,48.43,35.44,56.85,24.92,21.02,21.38,30.83,30.05,44.05,53.4,33.2,32.79,31.43,37.46,21.23,113.27,11.44,280.31,27.93,222.19,109.38,132.26,75.8,40.43,51.48,117.28,5.39,15.67,37.23,15.78,220.91,10.06,45.94,81.32,114.05,36.16,34.34,49.41,70.83,22.21,62.33,48.07,51.4,48.27,69.41,82.54,31.06,37.58,10682.215,2016-11-29
108.55,15.06,51.8,190.78,48.15,35.39,56.49,24.71,20.9,20.85,30.77,29.91,44.0,53.03,33.91,32.41,31.08,37.23,21.4,113.8,11.5,279.99,27.72,221.83,109.44,132.33,75.18,40.28,51.31,117.12,5.55,15.73,37.28,15.77,220.48,10.44,45.54,80.55,113.89,36.14,34.16,49.36,71.71,22.15,62.28,48.04,51.33,48.07,68.96,82.32,31.69,38.33,10682.01,2016-11-28
108.17,15.01,52.34,191.3,48.15,35.25,56.79,24.97,20.99,21.29,30.7,30.29,44.08,53.03,33.06,32.77,31.44,37.09,20.61,112.61,11.37,284.46,28.01,222.81,110.06,134.07,74.92,41.01,52.3,116.59,5.56,15.57,37.12,15.63,221.52,10.33,46.08,80.18,114.55,35.96,34.6,49.56,72.72,22.41,62.71,48.0,51.22,47.16,69.48,82.98,31.94,39.67,10681.805,2016-11-25
108.18,15.12,52.12,190.59,48.4,35.08,56.62,24.81,20.94,21.27,30.5,30.16,43.67,52.8,33.81,32.57,31.22,36.74,20.5,113.25,11.43,283.74,27.79,222.0,109.68,133.63,74.54,40.95,52.3,116.58,5.72,15.71,37.25,15.52,220.7,10.67,45.7,79.72,114.11,35.77,34.35,49.41,73.08,22.38,62.37,47.8,50.82,46.49,69.21,82.78,31.67,40.19,10681.6,2016-11-23
108.56,15.06,52.62,190.02,47.76,35.46,56.82,25.09,21.02,21.35,30.76,30.17,43.49,53.43,34.17,32.92,31.56,36.88,21.56,115.54,11.67,281.36,27.62,221.76,109.29,132.8,74.95,40.73,51.98,117.01,5.71,15.73,37.3,15.8,220.58,10.63,46.03,80.06,113.95,36.12,34.24,49.19,72.78,22.25,61.91,47.99,51.1,46.96,68.94,82.7,31.56,39.85,10681.386999999999,2016-11-22
108.46,15.08,52.29,189.34,47.68,34.93,56.68,25.02,20.86,21.09,30.26,30.08,43.61,52.16,33.75,32.8,31.46,36.24,21.48,115.58,11.68,286.71,27.59,221.39,109.11,131.6,73.69,40.5,51.66,116.71,5.79,15.78,37.37,15.72,220.15,10.77,45.99,78.68,113.62,35.73,34.11,48.89,72.82,22.24,61.63,47.84,50.84,46.78,69.95,81.73,30.09,39.97,10681.181,2016-11-21
108.37,14.67,52.09,188.46,47.29,34.59,56.2,24.86,20.77,20.87,29.94,29.68,42.97,51.95,32.59,32.49,31.15,35.94,21.05,115.15,11.63,284.72,27.45,219.79,108.43,130.99,73.68,40.41,51.5,116.59,5.54,16.02,37.65,15.73,218.5,10.32,45.6,78.92,112.77,35.38,33.88,48.32,71.13,22.16,61.3,47.36,50.5,46.29,69.7,81.2,29.5,38.35,10680.985,2016-11-18
108.72,14.55,52.07,189.3,47.64,34.75,56.82,25.09,20.71,21.4,30.04,30.0,44.21,52.39,32.38,32.87,31.55,35.97,21.3,116.17,11.74,288.52,27.34,220.23,108.46,130.3,73.46,40.17,51.15,117.25,5.39,15.96,37.55,15.84,218.99,10.13,46.07,78.69,112.98,35.46,33.89,48.39,70.84,22.16,61.32,47.4,50.68,46.43,70.45,81.45,29.57,38.09,10680.801000000001,2016-11-17
109.13,14.52,52.03,188.98,46.59,34.7,56.39,25.06,20.48,21.42,29.87,29.81,44.56,52.41,33.07,32.77,31.45,35.83,21.84,116.77,11.79,286.51,26.77,219.24,108.12,129.54,74.07,39.64,50.42,118.0,5.47,16.11,37.73,16.09,217.87,10.23,45.85,79.5,112.41,35.45,33.22,48.37,71.32,21.86,61.19,47.1,50.77,46.42,70.17,80.48,29.8,38.16,10680.617,2016-11-16
